num,unicode,glyph,language
0,0CE6,೦,Kannada
1,0CE7,೧,Kannada
2,0CE8,೨,Kannada
3,0CE9,೩,Kannada
4,0CEA,೪,Kannada
5,0CEB,೫,Kannada
6,0CEC,೬,Kannada
7,0CED,೭,Kannada
8,0CEE,೮,Kannada
9,0CEF,೯,Kannada
0,0BE6,௦,Tamil
1,0BE7,௧,Tamil
2,0BE8,௨,Tamil
3,0BE9,௩,Tamil
4,0BEA,௪,Tamil
5,0BEB,௫,Tamil
6,0BEC,௬,Tamil
7,0BED,௭,Tamil
8,0BEE,௮,Tamil
9,0BEF,௯,Tamil
0,0AE6,૦,Gujarati
1,0AE7,૧,Gujarati
2,0AE8,૨,Gujarati
3,0AE9,૩,Gujarati
4,0AEA,૪,Gujarati
5,0AEB,૫,Gujarati
6,0AEC,૬,Gujarati
7,0AED,૭,Gujarati
8,0AEE,૮,Gujarati
9,0AEF,૯,Gujarati
0,0D66,൦,Malayalam
1,0D67,൧,Malayalam
2,0D68,൨,Malayalam
3,0D69,൩,Malayalam
4,0D6A,൪,Malayalam
5,0D6B,൫,Malayalam
6,0D6C,൬,Malayalam
7,0D6D,൭,Malayalam
8,0D6E,൮,Malayalam
9,0D6F,൯,Malayalam
0,0966,०,Devanagari
1,0967,१,Devanagari
2,0968,२,Devanagari
3,0969,३,Devanagari
4,096A,४,Devanagari
5,096B,५,Devanagari
6,096C,६,Devanagari
7,096D,७,Devanagari
8,096E,८,Devanagari
9,096F,९,Devanagari
